rank,pool,votes,expected_usd
1,0x2df4af05f8c4aff0d3fbfc327595dbb7fc6498bf,348000,314.096979
2,0xcecf4d16114e601276ba7e8c39a309fbfc605f0e,302000,325.344806
3,0xf19787f048b3401546aa7a979afa79d555c114dd,271000,275.637256
4,0xe539b14a87d3db4a2945ac99b29a69de61531592,43000,30.406982
5,0x89f29dd355d74e57389374a2aa5f9518a1e497ac,39000,27.798608
6,0xbeef050a7485865a7a8d8ca0cc5f7536b7a3443e,19000,13.988055
7,0xc874416e1fdee2dc291fe1a4b7b91fb4c5875fc2,18000,14.529852
8,0x5984bc5ca90388aac221147ca9da419a2a458a9f,17000,14.223413
9,0xdf7d47cb2a669852f9e9c3022776ec66edb217ce,13000,13.021748
10,0x95fe59cdcbbc619ace31cf1b69691692e77401f8,13000,10.779511
11,0x15951b35d7a8ea6b6ef5718eab2fcdd3ad072451,12000,11.814698
12,0xc3f617c8a3da6d286c8f97af946a8f293632c852,10000,8.270461
13,0x29262772a1a99f180ac2e70093954cf4adf3cd85,8000,5.626257
14,0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,7000,6.321583
15,0x9e7e8997db3d2e3ae84e237fd49a4d0c878604fa,6000,5.391257
16,0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,4000,4.286314
17,0xca260c4633a3834caa9d70e5ea2d78d9290890c6,4000,3.353058
18,0xa528c2462fa74eb1a2335424d69d721e4aed1367,4000,3.153064
19,0x8323ba10155388825fba72f4c81dd6642d7321ef,3000,3.539935
20,0xa4b2401dbbf97e3fbda6fb4ef3f4b7a37069232b,3000,2.764385
21,0x46f4149cea5556bd013d4f031d3e3b65573fc002,3000,2.216972
22,0xb55fab1b4f8a2f52cca0c21ca3c4c20060454086,3000,2.151877
23,0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,2272,2.522975
24,0x3c3ad27a7f71959fc305af9170d0dbf2846aea06,2000,2.327415
25,0xa7cf47a3a6c7a2f7e44de0483e75ef7d83b7a63d,2000,1.588282
26,0x363d5faaea0cdd277f8f7e6578dcefbfb4a17520,2000,1.532359
27,0xcc037919bc28498c49b1c367d51ecd29b4b982c4,2000,1.402434
28,0xb3f0828eb3375b609b49e9fb959472a29cd6e49a,2000,1.356952
29,0x19ff35059452faa793dddf9894a1571c5d41003e,1000,0.702200
30,0x721bcd563603a559616dc9fb886a1732186995a4,1000,0.614370
31,0xa13e3f675794fcb15413ef0fb120db22d4b9ec27,1000,0.570142
32,0x02ab4a243c229550f6babcfdb106f19b35124df6,1000,0.545352
33,0x769bef1459ffc8ccc50b3e014d1ffbaf4c50cb39,1000,0.537475
34,0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,1000,0.455143
35,0xcd280042f629fa2384179911f9cb1f932b9f26c8,1000,0.442239
36,0x8772c46a7d10d7189d21eb635a9d271c83f66263,1000,0.442051
37,0xbce15e3e9799c9296c631b8fca65386d9554f49a,1000,0.439497
38,0x84994103403c715bace3bfb42f074f50e5432d55,1000,0.438911
39,0x8c8063a449eb9f020449fec4d9f0bca845188929,1000,0.436804
40,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,1000,0.426273
41,0x52fde427c2483ba0749140c0b43cfce73ba50d20,1000,0.423059
42,0x605abd1873737ca9a9ec1cfa52cdfc8ef62c2e1d,1000,0.355429
43,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,1000,0.322546
44,0x763adcf71cb195184088a26be01662119e303f5f,1000,0.320306
45,0x18156ace9940645ebf3602e2b320a77131a70ad1,1000,0.291240
46,0x51f0b932855986b0e621c9d4db6eee1f4644d3d2,1000,0.276120
47,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1000,0.269830
48,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,1000,0.257177
49,0xd4610403f0a93611ca76a5847743533268eff793,1000,0.228202
