epoch,epoch_date,pool,boundary_usd,late_usd,total_usd,late_pct,late_tokens
1776297600,2026-04-16,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,0.0,6209.91,6209.91,100.0,0x3595ca37@$0.877(+$788.88) | 0xd75dfa97@$0.114(+$4191.68) | 0x3595ca37@$0.877(+$13.94) | 0xa1136031@$0.042(+$1215.40)
1776297600,2026-04-16,0x01cea5a4d5ee16bec9749ab57b0b772dca9a9a45,0.0,223.02,223.02,100.0,0xa1136031@$0.042(+$193.24) | 0x42000000@$2062.398(+$29.78)
1776297600,2026-04-16,0xd4610403f0a93611ca76a5847743533268eff793,0.0,57.43,57.43,100.0,0x27f6c828@$1.344(+$57.43)
1776297600,2026-04-16,0xd8af279a041b798783162126d5dc8fdc04e6387c,0.0,10.01,10.01,100.0,0x0ceac003@$0.391(+$10.01)
1777507200,2026-04-30,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,0.0,5577.63,5577.63,100.0,0x3595ca37@$0.877(+$438.27) | 0xd75dfa97@$0.114(+$3567.51) | 0x3595ca37@$0.877(+$20.54) | 0xa1136031@$0.042(+$1551.31)
1777507200,2026-04-30,0xd8af279a041b798783162126d5dc8fdc04e6387c,0.0,41.49,41.49,100.0,0x0ceac003@$0.391(+$41.49)
1778112000,2026-05-07,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,0.0,2318.85,2318.85,100.0,0x3595ca37@$0.877(+$211.25) | 0xd75dfa97@$0.114(+$1230.94) | 0x3595ca37@$0.877(+$70.80) | 0xa1136031@$0.042(+$805.85)
1778112000,2026-05-07,0xd68f485e3f99e8865a89387b38c3ba33e529d2a3,0.0,840.0,840.0,100.0,0xa1136031@$0.042(+$840.00)
1778112000,2026-05-07,0x4506b0e9a7b0b06185ff317cef77bc5454b045c9,0.0,499.35,499.35,100.0,0x55380fe7@$0.999(+$499.35)
1778112000,2026-05-07,0x01cea5a4d5ee16bec9749ab57b0b772dca9a9a45,0.0,161.15,161.15,100.0,0xa1136031@$0.042(+$161.15)
1778112000,2026-05-07,0xd4610403f0a93611ca76a5847743533268eff793,0.0,40.33,40.33,100.0,0x27f6c828@$1.344(+$40.33)
1778112000,2026-05-07,0xd8af279a041b798783162126d5dc8fdc04e6387c,0.0,12.45,12.45,100.0,0x0ceac003@$0.391(+$12.45)
1778716800,2026-05-14,0x18156ace9940645ebf3602e2b320a77131a70ad1,0.0,750.0,750.0,100.0,0x051024b6@$0.000(+$750.00)
1778716800,2026-05-14,0x6c072f7c8e54ff147817d0dd6fd08734ede6de1f,0.0,609.0,609.0,100.0,0xa1136031@$0.042(+$609.00)
1778716800,2026-05-14,0x01cea5a4d5ee16bec9749ab57b0b772dca9a9a45,0.0,93.91,93.91,100.0,0xa1136031@$0.042(+$93.91)
1778716800,2026-05-14,0xd4610403f0a93611ca76a5847743533268eff793,0.0,40.33,40.33,100.0,0x27f6c828@$1.344(+$40.33)
1778716800,2026-05-14,0x30816a9e6572407a83ba5fd18e145d9dd81540f5,0.0,25.19,25.19,100.0,0x3595ca37@$0.877(+$25.19)
1778716800,2026-05-14,0x7d4d7988152742e00d0b7245490bc4a06480e668,0.0,24.99,24.99,100.0,0x42000000@$2062.398(+$24.99)
1778716800,2026-05-14,0xd8af279a041b798783162126d5dc8fdc04e6387c,0.0,12.45,12.45,100.0,0x0ceac003@$0.391(+$12.45)
